x,y,heading
367104.1659954993,3450704.9595207921,-2.6746017011
367103.9300099163,3450704.8405401194,-2.6746017210
367103.6940243327,3450704.7215594524,-2.6746017559
367103.4580387388,3450704.6025787904,-2.6746017815
367103.2220531418,3450704.4835981345,-2.6746018004
367102.9860675393,3450704.3646174814,-2.6746018335
367102.7500819312,3450704.2456368352,-2.6746018583
367102.5140963178,3450704.1266561938,-2.6746018876
367102.2781106964,3450704.0076755569,-2.6746019134
367102.0421250719,3450703.8886949262,-2.6746019383
367101.8061394420,3450703.7697143001,-2.6746019636
367101.5701538065,3450703.6507336786,-2.6746019918
367101.3341681656,3450703.5317530627,-2.6746020256
367101.0981825168,3450703.4127724529,-2.6746020435
367100.8621968648,3450703.2937918468,-2.6746020686
367100.6262112074,3450703.1748112454,-2.6746020999
367100.3902255445,3450703.0558306505,-2.6746021270
367100.1576204439,3450702.9385544946,-2.6790793209
367099.9212236952,3450702.8206911045,-2.6790793475
367099.6848269411,3450702.7028277195,-2.6790793726
367099.4484301814,3450702.5849643392,-2.6790793992
367099.2120334163,3450702.4671009639,-2.6790794304
367098.9756366458,3450702.3492375952,-2.6790794537
367098.7392398699,3450702.2313742307,-2.6790794836
367098.5028430884,3450702.1135108722,-2.6790795007
367098.2664463015,3450701.9956475161,-2.6790795367
367098.0300495091,3450701.8777841679,-2.6790795560
367097.7936527138,3450701.7599208239,-2.6790795866
367097.5572559105,3450701.6420574849,-2.6790796199
367097.4814615129,3450701.6042677183,-2.6749535792
367097.2454433801,3450701.4853747771,-2.6749535983
367097.0094252444,3450701.3664818401,-2.6749536324
367096.7734071007,3450701.2475889092,-2.6749536549
367096.5373889540,3450701.1286959834,-2.6749536815
367096.3013708018,3450701.0098030628,-2.6749537109
367096.0653526415,3450700.8909101468,-2.6749537332
367095.8293344784,3450700.7720172359,-2.6749537584
367095.5933163097,3450700.6531243296,-2.6749537924
367095.3572981330,3450700.5342314295,-2.6749538195
367095.1212799534,3450700.4153385358,-2.6749538378
367094.8852617658,3450700.2964456435,-2.6749538665
367094.6492435752,3450700.1775527583,-2.6749539022
367094.4132253765,3450700.0586598795,-2.6749539239
367094.1772071725,3450699.9397670045,-2.6749539277
367094.0959408747,3450699.8988295533,-2.6843316573
367093.8590673209,3450699.7822778071,-2.6843316816
367093.6221937593,3450699.6657260642,-2.6843317007
367093.3853201948,3450699.5491743255,-2.6843317290
367093.1484466247,3450699.4326225924,-2.6843317624
367092.9115730469,3450699.3160708654,-2.6843317835
367092.6746994660,3450699.1995191430,-2.6843318138
367092.4378258774,3450699.0829674257,-2.6843318362
367092.2009522858,3450698.9664157135,-2.6843318731
367091.9640786863,3450698.8498640084,-2.6843318899
367091.7450085664,3450698.7420723634,-2.7041296703
367091.5063913362,3450698.6304746852,-2.7041296995
367091.2677741008,3450698.5188770131,-2.7041297083
367091.2086149219,3450698.4912091605,-2.7248512601
367090.9682623810,3450698.3848123611,-2.7248512887
367090.7279098352,3450698.2784155677,-2.7248513132
367090.4875572820,3450698.1720187780,-2.7248513401
367090.2472047260,3450698.0656219949,-2.7248513639
367090.0068521650,3450697.9592252164,-2.7248513894
367089.7664995991,3450697.8528284431,-2.7248514185
367089.5261470280,3450697.7464316757,-2.7248514422
367089.2857944519,3450697.6400349131,-2.7248514748
367089.0454418684,3450697.5336381565,-2.7248514956
367088.8524644623,3450697.4482129505,-2.7299831416
367088.6116962071,3450697.3431065073,-2.7299831671
367088.3709279469,3450697.2380000693,-2.7299831942
367088.1301596817,3450697.1328936368,-2.7299832245
367087.8893914115,3450697.0277872109,-2.7299832435
367087.6486231363,3450696.9226807882,-2.7299832734
367087.4078548586,3450696.8175743730,-2.7299833047
367087.1670865710,3450696.7124679624,-2.7299833179
367086.9263182833,3450696.6073615556,-2.7299833585
367086.6855499881,3450696.5022551571,-2.7299833843
367086.4447816855,3450696.3971487628,-2.7299833943
367086.2040133828,3450696.2920423714,-2.7299834364
367085.9632450728,3450696.1869359887,-2.7299834630
367085.7225486127,3450696.0818609796,-2.7222011466
367085.4824128484,3450695.9747981536,-2.7222011851
367085.2422770790,3450695.8677353365,-2.7222012010
367085.0021413046,3450695.7606725218,-2.7222012294
367084.7620055275,3450695.6536097140,-2.7222012625
367084.5218697406,3450695.5465469114,-2.7222012823
367084.2817339533,3450695.4394841143,-2.7222013100
367084.0415981587,3450695.3324213219,-2.7222013405
367083.8014623589,3450695.2253585360,-2.7222013598
367083.5613265540,3450695.1182957534,-2.7222013934
367083.3211907442,3450695.0112329782,-2.7222014093
367083.1734520759,3450694.9453647882,-2.7334612240
367082.9324051886,3450694.8411333533,-2.7334612491
367082.6913582986,3450694.7369019245,-2.7334612728
367082.4503114038,3450694.6326705003,-2.7334613068
367082.2092645016,3450694.5284390827,-2.7334613237
367081.9682175968,3450694.4242076688,-2.7334613559
367081.7271706847,3450694.3199762609,-2.7334613794
367081.4861237700,3450694.2157448586,-2.7334614031
367081.2450768503,3450694.1115134610,-2.7334614354
367081.0040299232,3450694.0072820694,-2.7334614607
367080.7629829913,3450693.9030506830,-2.7334614843
367080.5219360567,3450693.7988193021,-2.7334615129
367080.2808891172,3450693.6945879273,-2.7334615402
367080.0398421703,3450693.5903565572,-2.7334615514
367079.9238863307,3450693.5402159691,-2.7309226311
367079.6830424734,3450693.4353458029,-2.7309226619
367079.4421986087,3450693.3304756423,-2.7309226874
367079.2013547389,3450693.2256054869,-2.7309227106
367078.9605108667,3450693.1207353370,-2.7309227378
367078.7196669895,3450693.0158651927,-2.7309227686
367078.4788231049,3450692.9109950541,-2.7309227924
367078.2379792152,3450692.8061249200,-2.7309228158
367077.9971353230,3450692.7012547916,-2.7309228402
367077.7562914233,3450692.5963846669,-2.7309228699
367077.5154475212,3450692.4915145496,-2.7309228971
367077.2746036141,3450692.3866444379,-2.7309229245
367077.0337596996,3450692.2817743309,-2.7309229501
367076.7929157800,3450692.1769042290,-2.7309229751
367076.5520718578,3450692.0720341331,-2.7309229989
367076.3112279307,3450691.9671640419,-2.7309230296
367076.0703839962,3450691.8622939563,-2.7309230502
367075.8295400568,3450691.7574238745,-2.7309230817
367075.5886961147,3450691.6525538005,-2.7309231077
367075.3478521652,3450691.5476837307,-2.7309231327
367075.1070082132,3450691.4428136670,-2.7309231569
367074.8661642537,3450691.3379436070,-2.7309231873
367074.6253202893,3450691.2330735535,-2.7309232138
367074.3844763223,3450691.1282035066,-2.7309232345
367074.1436323504,3450691.0233334634,-2.7309232669
367073.9027883710,3450690.9184634262,-2.7309232857
367073.6619443867,3450690.8135933923,-2.7309233190
367073.4211003997,3450690.7087233667,-2.7309233395
367073.1802564078,3450690.6038533449,-2.7309233736
367072.9394124085,3450690.4989833296,-2.7309233946
367072.7054780651,3450690.3971219719,-2.7367050872
367072.4641735496,3450690.2937069563,-2.7367051057
367072.2228690315,3450690.1902919449,-2.7367051379
367071.9815645061,3450690.0868769395,-2.7367051666
367071.7402599757,3450689.9834619402,-2.7367051914
367071.4989554429,3450689.8800469469,-2.7367052125
367071.2576509026,3450689.7766319565,-2.7367052457
367071.0163463575,3450689.6732169734,-2.7367052651
367070.8309557459,3450689.5937648192,-2.7106427090
367070.5917829950,3450689.4838000587,-2.7106427366
367070.3526102389,3450689.3738353038,-2.7106427623
367070.1134374778,3450689.2638705540,-2.7106427913
367069.8742647115,3450689.1539058103,-2.7106428115
367069.7622381941,3450689.1023992496,-2.6928753771
367069.5246015715,3450688.9879833926,-2.6928754041
367069.2869649460,3450688.8735675421,-2.6928754282
367069.0493283126,3450688.7591516948,-2.6928754550
367068.8116916764,3450688.6447358541,-2.6928754798
367068.5740550348,3450688.5303200181,-2.6928755100
367068.3364183855,3450688.4159041871,-2.6928755355
367068.0987817332,3450688.3014883623,-2.6928755571
367067.8611450756,3450688.1870725411,-2.6928755953
367067.6235084103,3450688.0726567274,-2.6928756080
367067.3858717420,3450687.9582409160,-2.6928756461
367067.1482350661,3450687.8438251121,-2.6928756638
367066.9105983871,3450687.7294093119,-2.6928757003
367066.6729617005,3450687.6149935187,-2.6928757162
367066.4353250109,3450687.5005777287,-2.6928757441
367066.1976883160,3450687.3861619444,-2.6928757775
367065.9600516133,3450687.2717461661,-2.6928757965
367065.7224149078,3450687.1573303919,-2.6928758286
367065.4847781945,3450687.0429146234,-2.6928758523
367065.2471414782,3450686.9284988604,-2.6928758843
367065.0095047542,3450686.8140831031,-2.6928758991
367064.8263031667,3450686.7258764184,-2.6928753734
367064.5886664825,3450686.6114605307,-2.6928753990
367064.3510297952,3450686.4970446490,-2.6928754259
367064.1133931004,3450686.3826287715,-2.6928754515
367063.8757564025,3450686.2682129000,-2.6928754817
367063.6381196969,3450686.1537970337,-2.6928755064
367063.4004829860,3450686.0393811720,-2.6928755287
367063.1628462722,3450685.9249653155,-2.6928755622
367062.9252095505,3450685.8105494650,-2.6928755796
367062.6875728260,3450685.6961336182,-2.6928756161
367062.4499360939,3450685.5817177785,-2.6928756323
367062.2122993586,3450685.4673019419,-2.6928756656
367061.9746626157,3450685.3528861115,-2.6928756942
